timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769049537014,898,GET /api/customer/owners,200,OK,Petclinic Load Test 1-2,text,true,,6499,176,5,5,http://4.156.9.169/api/customer/owners,898,0,0
1769049537824,112,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-5,text,true,,344,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/7/visits,112,0,0
1769049538054,230,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-4,text,true,,231,275,5,5,http://4.156.9.169/api/customer/owners/1/pets,230,0,0
1769049538660,357,GET /api/gateway/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,377,177,5,5,http://4.156.9.169/api/gateway/owners/2,356,0,0
1769049539531,139,POST /api/customer/owners,201,Created,Petclinic Load Test 1-5,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,139,0,0
1769049538691,1146,GET /api/customer/owners,200,OK,Petclinic Load Test 1-3,text,true,,6586,176,5,5,http://4.156.9.169/api/customer/owners,1146,0,0
1769049540242,153,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-2,text,true,,664,178,5,5,http://4.156.9.169/api/customer/owners/1,153,0,0
1769049540304,248,POST /api/customer/owners,201,Created,Petclinic Load Test 1-1,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,248,0,0
1769049540581,294,GET /api/vet/vets,200,OK,Petclinic Load Test 1-4,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,294,0,0
1769049540864,1237,GET /api/customer/owners,200,OK,Petclinic Load Test 1-5,text,true,,6854,176,5,5,http://4.156.9.169/api/customer/owners,1225,0,0
1769049542459,125,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-3,text,true,,505,179,5,5,http://4.156.9.169/api/customer/owners/10,125,0,0
1769049543033,157,POST /api/visit/owners/*/pets/{petId}/visits,201,Created,Petclinic Load Test 1-1,text,true,,213,285,5,5,http://4.156.9.169/api/visit/owners/*/pets/4/visits,157,0,0
1769049542799,951,GET /api/customer/owners,200,OK,Petclinic Load Test 1-2,text,true,,6860,176,5,5,http://4.156.9.169/api/customer/owners,950,0,0
1769049543828,182,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-5,text,true,,411,178,5,5,http://4.156.9.169/api/customer/owners/6,182,0,0
1769049543751,272,GET /api/vet/vets,200,OK,Petclinic Load Test 1-4,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,272,0,0
1769049544684,255,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-3,text,true,,231,276,5,5,http://4.156.9.169/api/customer/owners/10/pets,255,0,0
1769049545104,107,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-1,text,true,,128,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/9/visits,107,0,0
1769049546318,273,GET /api/vet/vets,200,OK,Petclinic Load Test 1-4,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,273,0,0
1769049546721,135,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-2,text,true,,586,179,5,5,http://4.156.9.169/api/customer/owners/10,134,0,0
1769049547610,188,POST /api/customer/owners,201,Created,Petclinic Load Test 1-1,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,187,0,0
1769049546645,1199,GET /api/customer/owners,200,OK,Petclinic Load Test 1-5,text,true,,6935,176,5,5,http://4.156.9.169/api/customer/owners,1198,0,0
1769049547595,944,GET /api/customer/owners,200,OK,Petclinic Load Test 1-3,text,true,,6949,176,5,5,http://4.156.9.169/api/customer/owners,944,0,0
1769049548509,109,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-4,text,true,,210,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/1/visits,109,0,0
1769049548899,158,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-5,text,true,,586,179,5,5,http://4.156.9.169/api/customer/owners/10,158,0,0
